Iteration, Temperature, AcceptedMoves, RejectedMoves, Wirelength(HPWL), Area
1, 40000, 7, 0, 278987, 656180
2, 38000, 7, 0, 254503, 550368
3, 36100, 6, 1, 270389, 623189
4, 34295, 7, 0, 250406, 492609
5, 32580.2, 6, 1, 239623, 466453
6, 30951.2, 6, 1, 236519, 455672
7, 29403.7, 6, 1, 257442, 513876
8, 27933.5, 6, 1, 250614, 494088
9, 26536.8, 7, 0, 264145, 513100
10, 25210, 7, 0, 274158, 535392
11, 23949.5, 7, 0, 266480, 534224
12, 22752, 7, 0, 257863, 489216
13, 21614.4, 7, 0, 256069, 524744
14, 20533.7, 6, 1, 253014, 489258
15, 19507, 5, 2, 258353, 518308
16, 18531.6, 8, 0, 287745, 709770
17, 17605.1, 7, 1, 301040, 743928
18, 16724.8, 8, 0, 280786, 598230
19, 15888.6, 7, 1, 281385, 596700
20, 15094.1, 8, 0, 280932, 605990
21, 14339.4, 6, 2, 285686, 635976
22, 13622.5, 8, 0, 266375, 536250
23, 12941.3, 7, 1, 258520, 549690
24, 12294.3, 8, 0, 264039, 570774
25, 11679.6, 5, 3, 256339, 564570
26, 11095.6, 7, 1, 269030, 610227
27, 10540.8, 8, 0, 260848, 598026
28, 10013.8, 6, 2, 270444, 603450
29, 9513.08, 7, 2, 263682, 557520
30, 9037.42, 6, 3, 294283, 689412
31, 8585.55, 6, 3, 293897, 732849
32, 8156.27, 9, 0, 275256, 614790
33, 7748.46, 9, 0, 283135, 649800
34, 7361.04, 9, 0, 273628, 606597
35, 6992.98, 7, 2, 266883, 571200
36, 6643.34, 3, 6, 287111, 691200
37, 6311.17, 9, 0, 266095, 624024
38, 5995.61, 7, 2, 265134, 609515
39, 5695.83, 7, 2, 276413, 595143
40, 5411.04, 9, 0, 251307, 548205
41, 5140.49, 9, 1, 264648, 582120
42, 4883.46, 9, 1, 253220, 496829
43, 4639.29, 9, 1, 263697, 554541
44, 4407.32, 8, 2, 266437, 567736
45, 4186.96, 7, 3, 268218, 574351
46, 3977.61, 10, 0, 247006, 468141
47, 3778.73, 8, 2, 253339, 462840
48, 3589.79, 7, 3, 247652, 455940
49, 3410.3, 7, 3, 242198, 468768
50, 3239.79, 7, 3, 251195, 486501
51, 3077.8, 9, 1, 258668, 502128
52, 2923.91, 5, 6, 265041, 570333
53, 2777.71, 9, 2, 238936, 540792
54, 2638.83, 5, 6, 259238, 520576
55, 2506.89, 10, 1, 259095, 467200
56, 2381.54, 6, 5, 245412, 448945
57, 2262.47, 8, 3, 230970, 446175
58, 2149.34, 7, 4, 233397, 472584
59, 2041.87, 7, 4, 236334, 502537
60, 1939.78, 5, 6, 231847, 535086
61, 1842.79, 9, 3, 223281, 515690
62, 1750.65, 7, 5, 245280, 530370
63, 1663.12, 9, 3, 244431, 507840
64, 1579.96, 10, 2, 251353, 505632
65, 1500.97, 3, 9, 250142, 493680
66, 1425.92, 8, 4, 249323, 491508
67, 1354.62, 3, 9, 254305, 506430
68, 1286.89, 6, 6, 256099, 510720
69, 1222.55, 6, 6, 240004, 476410
70, 1161.42, 11, 2, 246487, 469635
71, 1103.35, 9, 4, 249484, 485080
72, 1048.18, 7, 6, 241445, 478728
73, 995.771, 10, 3, 250096, 482964
74, 945.983, 10, 3, 242423, 482209
75, 898.684, 12, 1, 232359, 475920
76, 853.749, 7, 6, 248901, 499140
77, 811.062, 7, 6, 240576, 475416
78, 770.509, 14, 0, 242974, 469224
79, 731.983, 11, 3, 234704, 413898
80, 695.384, 8, 6, 231563, 413280
81, 660.615, 7, 7, 229040, 407904
82, 627.584, 13, 1, 227764, 384964
83, 596.205, 6, 8, 247420, 373282
84, 566.395, 6, 8, 243075, 382486
85, 538.075, 6, 8, 232077, 386260
86, 511.171, 7, 8, 229260, 382590
87, 485.613, 14, 1, 225410, 378838
88, 461.332, 10, 5, 228282, 378684
89, 438.265, 8, 7, 226537, 376512
90, 416.352, 4, 11, 220807, 382536
91, 395.535, 4, 11, 227612, 387288
92, 375.758, 4, 11, 230720, 389918
93, 356.97, 8, 8, 225015, 391632
94, 339.121, 10, 6, 231083, 382800
95, 322.165, 6, 10, 233167, 378672
96, 306.057, 4, 12, 234073, 379168
97, 290.754, 7, 9, 234904, 370920
98, 276.217, 6, 10, 229681, 363400
99, 262.406, 6, 11, 238290, 360473
100, 249.285, 1, 16, 238337, 366490
101, 236.821, 6, 11, 237898, 367037
102, 224.98, 5, 12, 236472, 364728
103, 213.731, 4, 13, 236863, 366415
104, 203.045, 1, 16, 241858, 377208
105, 192.892, 4, 14, 241381, 370510
106, 183.248, 6, 12, 230426, 371408
107, 174.085, 8, 10, 223429, 362115
108, 165.381, 10, 8, 230086, 367812
109, 157.112, 5, 13, 222258, 366021
110, 149.256, 3, 15, 223983, 370440
111, 141.794, 8, 11, 231527, 368935
112, 134.704, 5, 14, 220220, 337043
113, 127.969, 3, 16, 223116, 336204
114, 121.57, 9, 10, 232065, 331477
115, 115.492, 6, 13, 216664, 327152
116, 109.717, 5, 15, 218609, 325620
117, 104.231, 4, 16, 219588, 325742
118, 99.0197, 4, 16, 215275, 325680
119, 94.0688, 6, 14, 212319, 317790
120, 89.3653, 8, 12, 213871, 313510
121, 84.8971, 2, 19, 212785, 313510
122, 80.6522, 3, 18, 210532, 304288
123, 76.6196, 2, 19, 209021, 304288
124, 72.7886, 2, 19, 209021, 304288
125, 69.1492, 2, 19, 208746, 304288
126, 65.6917, 6, 16, 209165, 302495
127, 62.4071, 2, 20, 209523, 300291
128, 59.2868, 2, 20, 207956, 300291
129, 56.3224, 2, 20, 208158, 299858
130, 53.5063, 4, 18, 207092, 297388
131, 50.831, 2, 21, 207735, 297388
132, 48.2895, 3, 20, 203687, 293174
133, 45.875, 5, 18, 200094, 289432
134, 43.5812, 2, 21, 201275, 286044
135, 41.4022, 1, 22, 202170, 283089
136, 39.3321, 3, 21, 201386, 283089
137, 37.3655, 2, 22, 205375, 282498
138, 35.4972, 3, 21, 202090, 281542
139, 33.7223, 0, 24, 202090, 281542
140, 32.0362, 4, 21, 207797, 281542
141, 30.4344, 2, 23, 204332, 280236
142, 28.9127, 1, 24, 204332, 280236
143, 27.467, 1, 24, 201592, 275880
144, 26.0937, 3, 23, 199640, 275310
145, 24.789, 5, 21, 200164, 275310
146, 23.5496, 2, 24, 203318, 272629
147, 22.3721, 0, 26, 203318, 272629
148, 21.2535, 3, 24, 203810, 272629
149, 20.1908, 2, 25, 203828, 272629
150, 19.1813, 5, 22, 206112, 272629
151, 18.2222, 3, 24, 204506, 272629
152, 17.3111, 2, 26, 204461, 272629
153, 16.4455, 3, 25, 209449, 272629
154, 15.6233, 1, 27, 209430, 272629
155, 14.8421, 3, 26, 208377, 272505
156, 14.1, 1, 28, 207032, 272505
157, 13.395, 2, 27, 206648, 272505
158, 12.7252, 3, 26, 205828, 272505
159, 12.089, 3, 27, 204876, 270657
160, 11.4845, 7, 23, 207902, 270352
161, 10.9103, 3, 27, 208583, 270352
162, 10.3648, 2, 29, 207610, 270352
163, 9.84655, 3, 28, 208072, 267912
164, 9.35422, 3, 28, 209334, 266400
165, 8.88651, 1, 30, 209334, 266400
166, 8.44218, 1, 31, 207288, 266200
167, 8.02008, 1, 31, 207288, 266200
168, 7.61907, 5, 27, 205862, 264334
169, 7.23812, 4, 29, 202657, 264334
170, 6.87621, 2, 31, 202657, 264334
171, 6.5324, 5, 28, 201899, 261725
172, 6.20578, 5, 29, 203145, 256975
173, 5.89549, 2, 32, 201826, 256975
174, 5.60072, 3, 31, 200420, 256975
175, 5.32068, 2, 33, 201687, 256975
176, 5.05465, 1, 34, 201446, 256975
177, 4.80192, 0, 35, 201446, 256975
178, 4.56182, 3, 33, 202020, 256975
179, 4.33373, 1, 35, 201899, 256975
180, 4.11704, 1, 35, 201899, 256975
181, 3.91119, 1, 36, 201029, 256975
182, 3.71563, 3, 34, 200344, 255420
183, 3.52985, 4, 34, 198510, 248631
184, 3.35336, 1, 37, 198507, 248631
185, 3.18569, 2, 36, 198212, 247557
186, 3.0264, 1, 38, 197124, 247557
187, 2.87508, 0, 39, 197124, 247557
188, 2.73133, 1, 38, 197765, 247557
189, 2.59476, 1, 39, 197765, 247557
190, 2.46503, 3, 37, 198518, 247557
191, 2.34177, 5, 36, 196579, 247557
192, 2.22469, 1, 40, 197452, 247557
193, 2.11345, 4, 37, 194907, 247096
194, 2.00778, 5, 37, 194766, 247096
195, 1.90739, 4, 38, 195468, 247096
196, 1.81202, 4, 39, 191214, 244416
197, 1.72142, 2, 41, 191497, 244416
198, 1.63535, 2, 42, 193198, 244416
199, 1.55358, 2, 42, 192620, 242808
200, 1.4759, 1, 43, 192620, 242808
201, 1.40211, 3, 42, 189978, 242808
202, 1.332, 0, 45, 189978, 242808
203, 1.2654, 4, 42, 187809, 242272
204, 1.20213, 2, 44, 187809, 242272
205, 1.14202, 3, 44, 188386, 242272
206, 1.08492, 0, 47, 188386, 242272
207, 1.03068, 0, 48, 188386, 242272
208, 0.979143, 2, 46, 189169, 242272
209, 0.930186, 2, 47, 189169, 242272
210, 0.883677, 1, 48, 189169, 242272
211, 0.839493, 0, 49, 189169, 242272
212, 0.797518, 2, 48, 189168, 242272
213, 0.757642, 4, 46, 189812, 242272
214, 0.71976, 6, 45, 193330, 242272
215, 0.683772, 4, 47, 193890, 242272
216, 0.649584, 4, 48, 194155, 242272
217, 0.617105, 5, 47, 195698, 240933
218, 0.586249, 4, 49, 195423, 240933
219, 0.556937, 2, 52, 198220, 240933
220, 0.52909, 3, 51, 197710, 240933
221, 0.502635, 2, 53, 198971, 240933
222, 0.477504, 2, 53, 198585, 240933
223, 0.453629, 2, 54, 198375, 240933
224, 0.430947, 1, 55, 198375, 240933
225, 0.4094, 5, 52, 198375, 240933
226, 0.38893, 6, 51, 195786, 240840
227, 0.369483, 2, 56, 197798, 240840
228, 0.351009, 4, 54, 197360, 240840
229, 0.333459, 6, 53, 196062, 239056
230, 0.316786, 2, 58, 197224, 238428
231, 0.300946, 5, 55, 195914, 237888
232, 0.285899, 5, 56, 196494, 237888
233, 0.271604, 3, 58, 196770, 237440
234, 0.258024, 6, 56, 196297, 237440
235, 0.245123, 3, 60, 196172, 237440
236, 0.232867, 3, 60, 196307, 237440
237, 0.221223, 5, 59, 196570, 237440
238, 0.210162, 3, 62, 197235, 237440
239, 0.199654, 1, 64, 197501, 237440
240, 0.189671, 6, 60, 196619, 236992
241, 0.180188, 6, 61, 196129, 236992
242, 0.171178, 6, 61, 198817, 236992
243, 0.162619, 3, 65, 198080, 236992
244, 0.154488, 5, 64, 199511, 236992
245, 0.146764, 4, 65, 199496, 236992
246, 0.139426, 5, 65, 196643, 236992
247, 0.132455, 6, 65, 197515, 236992
248, 0.125832, 4, 67, 197425, 236992
249, 0.11954, 7, 65, 197868, 236992
250, 0.113563, 4, 69, 197638, 236992
251, 0.107885, 3, 70, 197728, 236992
252, 0.102491, 2, 72, 197719, 236992
253, 0.0973663, 4, 71, 198187, 236544
254, 0.092498, 4, 72, 197997, 236544
255, 0.0878731, 1, 75, 197997, 236544
256, 0.0834794, 8, 69, 196717, 232960
257, 0.0793054, 5, 73, 197263, 232960
258, 0.0753402, 3, 76, 197861, 232960
259, 0.0715732, 2, 77, 197797, 232960
260, 0.0679945, 4, 76, 194760, 231920
261, 0.0645948, 3, 78, 194502, 231920
262, 0.061365, 4, 78, 194717, 231400
263, 0.0582968, 4, 79, 195879, 231400
264, 0.0553819, 4, 79, 196700, 229917
265, 0.0526128, 5, 79, 195241, 229917
266, 0.0499822, 6, 79, 194828, 229398
267, 0.0474831, 6, 80, 198363, 229398
268, 0.0451089, 3, 84, 198198, 229398
269, 0.0428535, 4, 84, 196383, 229398
270, 0.0407108, 4, 85, 194466, 229398
271, 0.0386753, 5, 84, 193763, 227630
272, 0.0367415, 4, 86, 194311, 227630
273, 0.0349044, 6, 85, 195338, 227630
274, 0.0331592, 3, 89, 195262, 227630
275, 0.0315013, 4, 89, 194872, 227630
276, 0.0299262, 4, 90, 193329, 227630
277, 0.0284299, 3, 92, 193452, 227630
278, 0.0270084, 4, 92, 192630, 227630
279, 0.025658, 4, 93, 193186, 227630
280, 0.0243751, 6, 92, 192860, 227188
281, 0.0231563, 5, 94, 192388, 227188
282, 0.0219985, 5, 95, 192628, 227188
283, 0.0208986, 9, 92, 192899, 227188
284, 0.0198536, 1, 101, 192921, 227188
285, 0.018861, 6, 97, 192781, 227188
286, 0.0179179, 5, 99, 192781, 227188
287, 0.017022, 10, 95, 191969, 227188
288, 0.0161709, 5, 101, 191534, 227188
289, 0.0153624, 2, 105, 191597, 227188
290, 0.0145943, 3, 105, 191597, 227188
291, 0.0138645, 6, 103, 190938, 227188
292, 0.0131713, 3, 107, 191487, 227188
293, 0.0125127, 4, 107, 190603, 226304
294, 0.0118871, 6, 106, 190020, 226304
295, 0.0112928, 1, 112, 190020, 226304
296, 0.0107281, 5, 110, 190921, 226304
297, 0.0101917, 5, 111, 192341, 224978
