Iteration, Temperature, AcceptedMoves, RejectedMoves, Wirelength(HPWL), Area
1, 40000, 6, 1, 570733, 589044
2, 38000, 7, 0, 613010, 652938
3, 36100, 7, 0, 673826, 727716
4, 34295, 7, 0, 568195, 577304
5, 32580.2, 7, 0, 583077, 601094
6, 30951.2, 7, 0, 570721, 549080
7, 29403.7, 6, 1, 582105, 572880
8, 27933.5, 7, 0, 563267, 531152
9, 26536.8, 7, 0, 559272, 519792
10, 25210, 7, 0, 563625, 537642
11, 23949.5, 7, 0, 574315, 527340
12, 22752, 5, 2, 579916, 547920
13, 21614.4, 6, 1, 575498, 565134
14, 20533.7, 7, 0, 585001, 576080
15, 19507, 7, 0, 576987, 520704
16, 18531.6, 8, 0, 563561, 524469
17, 17605.1, 8, 0, 577008, 534261
18, 16724.8, 7, 1, 555453, 522648
19, 15888.6, 8, 0, 559776, 530710
20, 15094.1, 7, 1, 574368, 552024
21, 14339.4, 8, 0, 559075, 579960
22, 13622.5, 8, 0, 573985, 575664
23, 12941.3, 8, 0, 596369, 633906
24, 12294.3, 8, 0, 618537, 651300
25, 11679.6, 8, 0, 618881, 657672
26, 11095.6, 4, 4, 615329, 633391
27, 10540.8, 8, 0, 625433, 672312
28, 10013.8, 7, 1, 633388, 732636
29, 9513.08, 9, 0, 601657, 655872
30, 9037.42, 7, 2, 606730, 634100
31, 8585.55, 9, 0, 638051, 728532
32, 8156.27, 8, 1, 629474, 730584
33, 7748.46, 9, 0, 669900, 790152
34, 7361.04, 7, 2, 630077, 723576
35, 6992.98, 6, 3, 620240, 703840
36, 6643.34, 8, 1, 622695, 682080
37, 6311.17, 7, 2, 639249, 694624
38, 5995.61, 9, 0, 630134, 657408
39, 5695.83, 7, 2, 613017, 669696
40, 5411.04, 8, 1, 614946, 654696
41, 5140.49, 9, 1, 616617, 642610
42, 4883.46, 10, 0, 611245, 648560
43, 4639.29, 9, 1, 582895, 597184
44, 4407.32, 7, 3, 613137, 706875
45, 4186.96, 6, 4, 607226, 669994
46, 3977.61, 8, 2, 578687, 668500
47, 3778.73, 10, 0, 569035, 607452
48, 3589.79, 8, 2, 553858, 599612
49, 3410.3, 8, 2, 563172, 605440
50, 3239.79, 8, 2, 529141, 540600
51, 3077.8, 8, 2, 529955, 580671
52, 2923.91, 10, 1, 521672, 590010
53, 2777.71, 10, 1, 528274, 574221
54, 2638.83, 7, 4, 551158, 607772
55, 2506.89, 9, 2, 547824, 575168
56, 2381.54, 8, 3, 560759, 604210
57, 2262.47, 9, 2, 528451, 580986
58, 2149.34, 11, 0, 543116, 602368
59, 2041.87, 9, 2, 547424, 579502
60, 1939.78, 7, 4, 542910, 578622
61, 1842.79, 7, 5, 533119, 535525
62, 1750.65, 11, 1, 525662, 521472
63, 1663.12, 9, 3, 495974, 466256
64, 1579.96, 6, 6, 506847, 492336
65, 1500.97, 5, 7, 503699, 477000
66, 1425.92, 7, 5, 507358, 507210
67, 1354.62, 4, 8, 505287, 507210
68, 1286.89, 9, 3, 506652, 497162
69, 1222.55, 6, 6, 500842, 498550
70, 1161.42, 6, 7, 496497, 489840
71, 1103.35, 4, 9, 485847, 478548
72, 1048.18, 7, 6, 482620, 471744
73, 995.771, 9, 4, 479389, 481730
74, 945.983, 6, 7, 469232, 442188
75, 898.684, 3, 10, 469627, 473990
76, 853.749, 4, 9, 474188, 503524
77, 811.062, 4, 9, 476866, 466488
78, 770.509, 2, 12, 472001, 466488
79, 731.983, 4, 10, 476259, 440864
80, 695.384, 3, 11, 484593, 472120
81, 660.615, 7, 7, 470499, 424105
82, 627.584, 3, 11, 472878, 420736
83, 596.205, 7, 7, 476215, 428625
84, 566.395, 7, 7, 468909, 423192
85, 538.075, 3, 11, 461490, 410139
