Iteration, Temperature, AcceptedMoves, RejectedMoves, Wirelength(HPWL), Area
1, 40000, 6, 1, 159416, 518518
2, 38000, 7, 0, 151922, 465408
3, 36100, 6, 1, 150880, 529016
4, 34295, 5, 2, 146131, 524790
5, 32580.2, 7, 0, 162118, 598212
6, 30951.2, 7, 0, 159706, 629068
7, 29403.7, 7, 0, 151163, 546057
8, 27933.5, 6, 1, 159097, 607068
9, 26536.8, 7, 0, 166440, 569855
10, 25210, 6, 1, 161532, 589095
11, 23949.5, 7, 0, 152444, 583255
12, 22752, 5, 2, 163736, 695647
13, 21614.4, 7, 0, 147158, 615368
14, 20533.7, 7, 0, 150460, 657045
15, 19507, 7, 0, 156052, 636376
16, 18531.6, 7, 1, 167353, 667590
17, 17605.1, 7, 1, 157652, 641784
18, 16724.8, 8, 0, 156938, 587818
19, 15888.6, 8, 0, 154256, 520696
20, 15094.1, 8, 0, 168528, 581850
21, 14339.4, 8, 0, 132332, 445135
22, 13622.5, 6, 2, 138774, 522576
23, 12941.3, 5, 3, 148811, 575277
24, 12294.3, 7, 1, 154197, 617572
25, 11679.6, 7, 1, 153119, 568511
26, 11095.6, 8, 0, 142312, 482445
27, 10540.8, 8, 0, 146698, 506300
28, 10013.8, 8, 0, 157213, 560805
29, 9513.08, 9, 0, 138693, 470704
30, 9037.42, 5, 4, 134397, 438886
31, 8585.55, 6, 3, 128844, 416160
32, 8156.27, 7, 2, 123862, 452991
33, 7748.46, 8, 1, 148089, 493580
34, 7361.04, 7, 2, 147833, 477572
35, 6992.98, 8, 1, 136194, 422331
36, 6643.34, 7, 2, 131663, 440492
37, 6311.17, 8, 1, 133228, 476410
38, 5995.61, 7, 2, 136534, 500940
39, 5695.83, 7, 2, 150459, 538464
40, 5411.04, 6, 3, 145818, 599536
41, 5140.49, 10, 0, 153045, 596820
42, 4883.46, 9, 1, 142057, 514800
43, 4639.29, 9, 1, 143909, 551520
44, 4407.32, 8, 2, 142671, 566993
45, 4186.96, 10, 0, 139884, 563030
46, 3977.61, 10, 0, 131020, 537472
47, 3778.73, 9, 1, 143758, 487146
48, 3589.79, 9, 1, 142810, 479385
49, 3410.3, 8, 2, 143392, 511638
50, 3239.79, 10, 0, 137129, 422220
51, 3077.8, 7, 3, 144923, 505080
52, 2923.91, 6, 5, 143696, 588861
53, 2777.71, 10, 1, 149467, 542888
54, 2638.83, 11, 0, 146461, 535235
55, 2506.89, 6, 5, 146413, 513750
56, 2381.54, 1, 10, 149038, 568344
57, 2262.47, 9, 2, 148458, 562436
58, 2149.34, 10, 1, 144980, 506920
59, 2041.87, 7, 4, 144243, 515872
60, 1939.78, 5, 6, 147448, 502260
61, 1842.79, 9, 3, 144753, 529815
62, 1750.65, 10, 2, 137214, 457888
63, 1663.12, 10, 2, 141997, 448800
64, 1579.96, 7, 5, 134132, 435519
65, 1500.97, 3, 9, 135439, 414375
66, 1425.92, 5, 7, 132178, 421197
67, 1354.62, 6, 6, 132615, 428349
68, 1286.89, 5, 7, 132696, 462528
69, 1222.55, 5, 7, 131039, 481587
70, 1161.42, 10, 3, 136992, 473821
71, 1103.35, 9, 4, 128901, 410656
72, 1048.18, 4, 9, 125368, 417092
73, 995.771, 4, 9, 127593, 446550
74, 945.983, 5, 8, 131303, 515970
75, 898.684, 13, 0, 130270, 504054
76, 853.749, 7, 6, 137416, 493449
77, 811.062, 9, 4, 134657, 515592
78, 770.509, 8, 6, 130764, 515025
